COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,
PRODUCCIÓN DE HIDROCARBUROS POR POZO,,,,,,,,
Correspondiente a la cuenca: Cinturon Plegado De Chiapas,,,,,,,,
Esta información se encuentra en proceso de revisión por lo que puede sufrir modificaciones.,,,,,,,,
,,,,,,,,
Actualización: 2020-05,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fecha,Cuenca,Asignación_o_Contrato,Nombre_del_pozo,Petróleo_(Mbd),Gas_asociado_(MMpcd),Gas_no_asociado_(MMpcd),Agua_(Mbd),Condensado_(Mbd)
01-01-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.046167,14.056584,0.0,0.009942,0.0
01-02-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.333261,23.107954,0.0,0.011322,0.0
01-03-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.261468,21.779438,0.0,0.006391,0.0
01-04-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.219839,18.21167,0.0,0.006143,0.0
01-05-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.197939,18.749467,0.0,0.006128,0.0
01-06-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.205581,18.833153,0.0,0.00608,0.0
01-07-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.228983,19.00373,0.0,0.006067,0.0
01-08-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.074987,15.298502,0.0,0.006755,0.0
01-09-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.38283,19.471362,0.0,0.006435,0.0
01-10-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.482003,21.480133,0.0,0.005783,0.0
01-11-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.420489,18.732955,0.0,0.0038,0.0
01-12-1996,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.604353,23.294213,0.0,0.006249,0.0
01-01-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.539627,22.534046,0.0,0.005864,0.0
01-02-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.468039,21.708934,0.0,0.006312,0.0
01-03-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.371421,22.80314,0.0,0.006899,0.0
01-04-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.366395,22.655705,0.0,0.006311,0.0
01-05-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.327452,23.041796,0.0,0.005539,0.0
01-06-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.271392,3.892733,0.0,0.010966,0.0
01-06-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.114062,19.511174,0.0,0.007569,0.0
01-07-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,1.059843,19.576344,0.0,0.006473,0.0
01-07-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.354755,5.389188,0.0,0.006432,0.0
01-07-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.431913,8.330506,0.0,0.0,0.0
01-08-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.881816,20.417973,0.0,0.006047,0.0
01-08-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.333856,5.928744,0.0,0.001887,0.0
01-08-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.557881,11.746556,0.0,0.0,0.0
01-09-1997,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.882884,20.587528,0.0,0.006227,0.0
