COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,
PRODUCCIÓN DE HIDROCARBUROS POR POZO,,,,,,,,
Correspondiente a la cuenca: Sabinas,,,,,,,,
Esta información se encuentra en proceso de revisión por lo que puede sufrir modificaciones.,,,,,,,,
,,,,,,,,
Actualización: 2020-05,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fecha,Cuenca,Asignación_o_Contrato,Nombre_del_pozo,Petróleo_(Mbd),Gas_asociado_(MMpcd),Gas_no_asociado_(MMpcd),Agua_(Mbd),Condensado_(Mbd)
01-09-1977,SABINAS,,MONCLOVA-1,0.0,0.0,2.916599,0.001468,0.0
01-10-1977,SABINAS,,MONCLOVA-3,0.0,0.0,1.843745,0.0,0.0
01-10-1977,SABINAS,,MONCLOVA-1,0.0,0.0,8.84192,0.00487,0.0
01-11-1977,SABINAS,,MONCLOVA-3,0.0,0.0,11.688635,0.0,0.0
01-11-1977,SABINAS,,MONCLOVA-1,0.0,0.0,5.023221,0.002726,0.0
01-12-1977,SABINAS,,MONCLOVA-3,0.0,0.0,13.893193,0.0,0.0
01-12-1977,SABINAS,,MONCLOVA-1,0.0,0.0,6.672219,0.003652,0.0
01-01-1978,SABINAS,,MONCLOVA-1,0.0,0.0,2.073353,0.001014,0.0
01-01-1978,SABINAS,,MONCLOVA-127,0.0,0.0,8.055331,0.0,0.0
01-01-1978,SABINAS,,MONCLOVA-3,0.0,0.0,18.570302,0.0,0.0
01-02-1978,SABINAS,,MONCLOVA-3,0.0,0.0,24.172367,0.0,0.0
01-02-1978,SABINAS,,MONCLOVA-127,0.0,0.0,12.080693,0.0,0.0
01-02-1978,SABINAS,,MONCLOVA-1,0.0,0.0,2.921164,0.0,0.0
01-03-1978,SABINAS,,MONCLOVA-1,0.0,0.0,8.264485,0.0,0.0
01-03-1978,SABINAS,,MONCLOVA-127,0.0,0.0,16.824433,0.0,0.0
01-03-1978,SABINAS,,MONCLOVA-22,0.0,0.0,0.565116,0.0,0.0
01-03-1978,SABINAS,,MONCLOVA-3,0.0,0.0,18.599791,0.0,0.0
01-04-1978,SABINAS,,MONCLOVA-3,0.0,0.0,20.233455,0.0,0.0
01-04-1978,SABINAS,,MONCLOVA-22,0.0,0.0,3.257731,0.0,0.0
01-04-1978,SABINAS,,MONCLOVA-127,0.0,0.0,18.628588,0.0,0.0
01-04-1978,SABINAS,,MONCLOVA-1,0.0,0.0,5.086371,0.0,0.0
01-05-1978,SABINAS,,MONCLOVA-3,0.0,0.0,19.445191,0.0,0.0
01-05-1978,SABINAS,,MONCLOVA-22,0.0,0.0,3.522788,0.044231,0.0
01-05-1978,SABINAS,,MONCLOVA-127,0.0,0.0,19.274971,0.008319,0.0
01-05-1978,SABINAS,,MONCLOVA-1,0.0,0.0,4.064991,0.0,0.0
01-06-1978,SABINAS,,MONCLOVA-3,0.0,0.0,24.689485,0.0,0.0
01-06-1978,SABINAS,,MONCLOVA-22,0.0,0.0,2.808033,0.035223,0.0
01-06-1978,SABINAS,,MONCLOVA-216,0.0,0.0,0.569708,0.0,0.0
01-06-1978,SABINAS,,MONCLOVA-127,0.0,0.0,20.606856,0.008806,0.0
01-06-1978,SABINAS,,MONCLOVA-1,0.0,0.0,5.414881,0.0,0.0
